days_since_last_purchase,purchase_frequency,avg_session_duration_min,cart_abandonment_rate,total_spend_usd,num_support_tickets,pages_per_session,discount_usage_rate,email_open_rate,preferred_device,membership_tier,churned
176,2,2.4,0.652,16.07,2,3.6,0.596,0.126,mobile,silver,1
38,8,29.0,0.031,1133.26,1,17.5,0.496,0.855,desktop,silver,0
61,1,2.3,0.704,23.67,3,3.9,0.232,0.114,desktop,bronze,1
14,5,13.5,0.126,602.23,0,16.1,0.32,0.574,mobile,silver,0
62,2,4.4,0.624,,4,1.7,0.709,0.191,mobile,bronze,1
8,7,27.3,0.298,601.92,0,13.7,0.494,0.65,desktop,gold,1
79,2,6.9,0.944,24.34,5,4.3,0.389,0.091,mobile,bronze,0
3,5,11.3,0.364,1998.13,0,12.1,0.081,,desktop,gold,0
3,7,19.2,0.585,480.28,0,11.2,0.449,0.419,mobile,gold,0
10,0,2.6,0.823,15.56,1,1.7,0.477,0.315,mobile,bronze,1
21,14,9.6,0.221,739.59,0,15.6,0.219,0.794,mobile,bronze,0
4,10,19.6,0.27,661.74,0,13.6,0.408,0.871,mobile,silver,0
9,9,21.1,0.082,1515.79,0,12.5,0.109,0.652,mobile,silver,0
1,4,11.2,0.628,0.7,0,,0.266,0.319,mobile,gold,0
5,8,18.8,,50.16,0,14.9,0.445,,desktop,silver,0
227,0,4.7,0.692,7.86,4,4.6,0.619,0.112,tablet,silver,1
40,0,6.1,0.834,38.93,0,2.2,0.548,0.118,desktop,silver,0
365,1,1.5,0.608,16.87,3,2.5,0.556,,mobile,bronze,0
55,11,16.4,0.043,8.69,0,7.4,0.447,0.745,tablet,silver,1
19,1,3.9,0.791,64.07,6,2.0,0.491,0.09,mobile,bronze,1
12,8,20.6,,1462.31,0,7.4,0.078,0.413,mobile,gold,0
16,10,22.9,0.06,283.48,0,14.3,0.336,0.678,desktop,gold,0
23,10,19.4,0.214,158.17,0,12.4,0.19,0.529,tablet,platinum,1
17,10,22.0,0.016,576.38,0,14.8,0.075,0.863,desktop,platinum,0
365,1,4.8,,39.87,2,2.7,0.769,0.335,mobile,bronze,1
5,0,2.0,0.713,8.08,2,5.3,0.685,0.093,mobile,gold,1
7,10,19.8,0.299,818.5,0,9.3,0.48,0.536,desktop,silver,0
4,9,19.6,0.046,,0,14.1,0.181,0.535,desktop,silver,1
1,4,13.9,0.068,,1,9.4,0.224,0.775,mobile,platinum,1
1,8,21.7,0.113,295.58,0,11.8,0.53,0.91,mobile,gold,0
131,1,5.6,0.562,17.29,1,2.2,0.788,0.051,desktop,bronze,1
45,2,1.2,0.695,33.75,0,8.4,0.633,0.405,mobile,bronze,0
21,5,9.3,0.313,337.05,0,9.2,0.347,0.532,mobile,platinum,0
19,4,18.0,0.002,593.06,0,,0.593,0.731,desktop,gold,0
73,1,4.9,0.408,21.4,3,3.5,0.708,0.002,mobile,gold,1
13,12,23.2,0.158,245.63,0,9.8,0.307,0.689,desktop,gold,1
40,6,23.3,0.345,1340.55,0,11.5,0.088,0.576,desktop,gold,1
138,2,2.4,0.525,45.65,4,1.1,0.516,0.053,mobile,bronze,1
51,5,11.2,,155.81,0,6.8,0.378,0.847,mobile,bronze,0
173,1,6.7,0.633,1.8,2,4.1,0.385,0.236,desktop,bronze,1
82,0,3.7,0.534,140.25,2,6.0,0.654,0.526,desktop,bronze,1
16,12,14.2,0.137,204.9,0,13.1,0.479,0.505,mobile,platinum,1
125,1,0.6,0.497,2.72,1,4.8,0.497,0.231,desktop,gold,0
2,13,19.0,0.086,915.8,0,15.2,0.281,0.752,desktop,platinum,1
38,0,9.1,0.53,17.46,0,12.3,0.488,0.189,desktop,gold,0
7,12,15.3,0.07,445.38,0,12.7,0.3,0.537,tablet,platinum,0
220,2,9.7,0.567,6.22,2,8.6,0.453,0.218,mobile,gold,0
59,8,,0.072,708.29,0,10.5,0.308,0.205,desktop,bronze,1
20,10,,0.124,862.74,0,9.7,0.116,0.565,desktop,platinum,0
3,0,11.7,0.503,18.29,1,7.8,0.428,0.59,mobile,bronze,1
118,1,,0.6,54.71,2,1.9,0.769,0.031,desktop,bronze,1
8,6,,,264.22,0,9.1,0.187,0.644,mobile,gold,0
195,0,3.1,0.796,,1,2.0,0.669,0.158,mobile,bronze,1
24,3,,0.332,14.16,2,3.5,0.363,0.497,desktop,bronze,0
29,2,8.3,0.715,156.77,1,4.6,0.45,0.338,mobile,silver,0
83,1,1.7,0.664,3.87,3,2.4,0.306,0.137,mobile,silver,1
41,11,12.1,0.369,929.9,0,16.5,0.213,0.683,desktop,gold,0
47,1,4.4,0.473,175.21,0,7.0,0.407,0.41,tablet,platinum,0
17,3,0.7,0.959,12.2,2,,0.891,0.04,mobile,bronze,1
53,5,23.9,0.389,174.73,0,11.2,0.19,0.749,mobile,platinum,0
300,1,6.8,0.219,357.15,2,7.0,0.721,0.6,mobile,bronze,1
11,0,3.3,0.706,20.76,2,3.9,0.34,0.082,desktop,gold,0
24,11,17.6,,1259.26,0,13.7,0.239,0.611,desktop,gold,0
230,1,0.5,0.455,1.03,3,3.3,0.567,0.148,desktop,bronze,0
7,1,8.3,0.626,15.73,1,1.7,0.816,0.13,desktop,bronze,1
34,0,7.2,0.244,21.76,2,3.9,0.535,0.412,mobile,silver,0
99,2,6.5,0.442,45.92,0,4.8,0.398,0.201,desktop,bronze,1
16,7,20.7,0.02,944.82,0,9.0,0.142,0.662,mobile,gold,1
72,2,3.3,0.605,33.24,1,4.5,0.504,0.432,desktop,bronze,1
82,0,14.1,0.675,157.97,1,1.5,0.444,0.199,mobile,silver,1
35,7,19.6,0.189,184.54,0,8.8,0.162,0.289,mobile,gold,0
125,2,9.4,0.711,39.38,2,3.7,0.349,,mobile,bronze,1
117,2,3.0,0.73,,3,3.2,0.792,0.262,mobile,bronze,0
1,8,12.7,0.205,765.81,0,16.9,0.317,0.697,mobile,gold,0
186,0,3.8,0.93,107.82,9,1.3,0.532,0.144,desktop,bronze,0
31,1,1.3,0.812,22.62,2,1.4,0.699,0.336,desktop,bronze,1
122,1,0.9,0.54,11.0,1,2.9,0.414,,mobile,bronze,1
58,6,22.7,0.029,347.81,0,13.3,0.492,0.821,desktop,silver,0
18,9,16.6,0.334,441.34,0,10.4,0.231,0.337,desktop,silver,1
5,6,18.2,0.395,78.51,0,12.5,0.096,0.899,desktop,gold,1
16,1,3.8,0.796,91.23,6,2.0,0.664,0.064,desktop,silver,0
29,11,,0.073,72.33,0,13.8,0.157,0.727,desktop,bronze,0
17,7,17.0,0.313,96.53,1,18.6,0.088,0.756,tablet,silver,0
23,10,19.0,0.025,1935.54,1,13.3,0.218,,mobile,gold,0
51,12,16.1,0.017,567.05,0,13.1,0.366,0.523,mobile,bronze,0
24,8,14.6,0.159,362.62,1,12.6,0.536,,desktop,gold,0
26,2,1.4,,19.66,2,6.4,0.409,0.395,desktop,bronze,0
24,12,15.5,0.269,492.46,1,8.5,0.228,0.499,desktop,bronze,0
13,1,5.3,0.617,74.4,1,5.0,0.296,0.434,desktop,bronze,0
84,0,,0.627,19.73,3,1.0,0.605,0.32,mobile,bronze,1
50,4,11.1,0.618,34.69,0,1.2,0.28,0.618,desktop,gold,0
330,0,4.2,0.233,23.8,3,,0.116,0.108,mobile,bronze,1
85,6,7.0,0.507,47.36,2,2.5,0.377,0.277,mobile,platinum,0
2,3,17.6,,287.26,1,8.9,0.141,0.725,mobile,silver,1
58,4,6.6,0.408,47.21,0,6.7,0.391,0.651,mobile,bronze,0
32,2,10.0,0.061,72.44,0,8.1,0.171,0.543,desktop,bronze,0
110,1,9.3,0.581,12.16,0,4.6,0.584,0.507,tablet,gold,1
8,14,17.7,0.131,718.88,0,12.9,0.069,0.485,mobile,silver,0
18,7,8.7,0.019,380.34,0,16.7,0.121,0.849,desktop,gold,0
55,9,13.9,,724.63,1,14.4,0.22,,desktop,gold,0
3,7,12.9,0.004,621.49,0,,0.072,0.784,desktop,platinum,0
25,6,23.0,0.075,657.57,0,,0.152,0.55,tablet,bronze,1
27,3,8.5,,64.08,0,3.9,0.323,0.048,desktop,silver,1
8,4,11.2,0.336,41.42,0,5.4,0.319,0.172,desktop,bronze,1
39,8,19.3,0.061,1671.89,0,12.3,0.039,0.638,desktop,gold,0
33,5,16.9,0.31,520.66,0,11.7,0.386,0.578,desktop,gold,0
1,12,25.6,0.303,1809.15,0,12.2,0.382,0.835,tablet,silver,0
1,9,19.1,0.345,31.9,1,12.9,0.42,0.439,desktop,gold,0
79,1,2.5,0.674,35.66,3,2.9,0.865,0.03,mobile,bronze,1
48,1,4.0,0.675,48.41,3,6.1,0.491,0.041,mobile,gold,1
14,12,,0.156,309.88,0,4.6,0.202,0.904,mobile,gold,0
32,2,5.3,0.459,414.09,3,3.5,0.605,0.32,mobile,bronze,0
357,0,0.5,,74.74,3,3.6,0.652,0.112,mobile,silver,1
43,1,2.8,0.616,11.81,2,1.4,0.78,0.037,desktop,silver,0
22,2,,0.908,7.65,2,4.2,0.846,0.017,tablet,bronze,0
74,2,1.8,0.621,3.98,3,4.5,0.628,0.221,mobile,silver,1
125,1,12.1,0.679,60.11,0,9.7,0.423,0.202,mobile,bronze,1
15,5,19.4,0.143,165.64,1,7.9,0.104,0.762,mobile,bronze,0
10,7,16.3,0.018,487.82,0,,0.287,0.571,desktop,platinum,0
6,11,,0.015,1056.64,0,,0.284,0.241,desktop,bronze,0
96,0,6.7,0.483,8.53,1,1.7,0.488,0.137,mobile,silver,1
4,4,7.1,0.466,0.29,1,6.8,0.505,0.272,desktop,gold,0
111,7,14.9,0.182,1087.85,0,12.0,0.391,0.78,mobile,silver,0
365,1,0.7,0.49,107.17,4,,0.721,0.335,desktop,silver,1
9,7,11.7,0.398,143.85,1,14.3,0.146,0.628,mobile,platinum,1
280,1,4.6,,35.26,0,10.0,0.64,0.205,mobile,platinum,0
84,1,7.9,0.191,221.07,1,4.4,0.713,0.185,mobile,bronze,1
9,2,18.0,0.078,765.79,1,18.6,0.458,0.634,mobile,platinum,0
47,7,14.3,0.032,994.27,1,15.0,0.363,0.694,tablet,platinum,0
27,1,2.8,0.639,37.21,4,2.3,0.417,,mobile,bronze,1
62,5,5.7,0.585,10.18,0,8.2,0.423,0.443,desktop,bronze,0
2,1,4.6,0.695,1.81,3,1.0,0.359,0.282,mobile,bronze,1
19,5,11.0,0.775,75.11,2,5.1,0.584,0.145,mobile,silver,1
31,7,14.6,0.2,669.06,0,8.3,0.088,0.473,desktop,gold,0
1,5,29.8,0.277,136.19,0,13.4,0.302,0.497,desktop,bronze,0
8,7,12.8,0.378,1253.17,0,17.4,0.177,0.781,mobile,gold,0
27,1,3.7,0.851,31.44,2,4.0,0.577,0.104,mobile,bronze,0
162,2,3.9,0.747,26.6,2,2.0,0.901,0.014,desktop,silver,0
6,1,1.8,0.742,62.94,2,1.0,0.425,0.046,desktop,bronze,1
229,1,4.3,0.512,9.13,1,1.5,0.318,,tablet,gold,1
26,4,11.0,0.027,63.2,0,4.7,0.113,0.624,tablet,silver,1
90,9,,0.013,55.24,0,8.7,0.614,0.47,desktop,platinum,0
52,4,0.8,0.356,88.83,3,1.0,0.577,0.142,mobile,silver,1
2,2,5.7,0.34,67.15,0,8.8,0.342,0.381,desktop,bronze,0
46,2,10.0,0.338,64.01,0,2.9,0.719,0.435,mobile,silver,0
1,3,9.2,0.218,33.34,1,,0.208,0.129,mobile,bronze,0
90,3,4.6,0.67,115.07,0,6.7,0.577,0.382,tablet,bronze,0
23,2,4.7,0.828,9.52,4,4.7,0.763,0.12,desktop,silver,0
31,4,12.5,0.155,171.54,1,9.5,0.601,0.795,tablet,silver,1
15,14,16.6,0.027,88.86,1,11.9,0.455,0.731,desktop,gold,0
6,6,16.7,0.064,154.42,0,10.2,0.081,0.887,mobile,bronze,1
345,3,2.1,0.72,6.38,6,2.9,0.645,0.173,mobile,silver,1
30,0,7.4,0.533,27.09,2,6.5,0.067,0.188,mobile,bronze,0
56,2,0.5,0.708,26.68,1,1.6,0.38,0.023,desktop,silver,0
308,1,2.8,0.672,49.43,3,5.1,0.4,0.534,desktop,silver,1
11,9,18.5,0.113,668.17,1,12.4,0.123,0.794,tablet,gold,1
16,7,,,621.99,0,13.3,0.349,0.262,desktop,silver,0
41,8,22.4,0.003,396.28,0,9.1,0.274,,desktop,silver,0
129,2,6.2,0.958,139.17,2,1.7,0.669,0.064,mobile,bronze,0
25,2,,0.65,301.37,1,4.8,0.545,0.767,mobile,bronze,0
36,2,2.1,0.557,41.06,2,3.5,0.659,0.264,desktop,bronze,1
133,4,0.5,0.898,49.68,1,,0.598,0.024,desktop,silver,1
106,0,8.9,0.513,9.87,4,6.7,0.528,0.45,tablet,silver,1
68,0,6.6,0.28,0.2,1,4.5,0.395,0.854,mobile,bronze,0
16,3,8.4,0.406,201.55,2,6.4,0.439,0.69,tablet,gold,0
28,1,6.3,0.607,89.53,1,6.7,0.794,0.282,desktop,bronze,1
1,12,19.1,0.438,297.23,1,12.7,0.201,0.427,desktop,bronze,0
25,7,18.1,0.002,820.65,0,11.8,0.407,0.96,desktop,gold,0
85,2,2.8,0.838,6.9,3,2.6,0.446,0.115,mobile,bronze,1
10,7,,0.168,1116.99,0,4.1,0.316,0.54,mobile,silver,0
11,17,23.9,0.084,413.12,0,19.8,0.216,0.633,desktop,platinum,0
40,2,3.0,0.758,69.14,5,4.2,0.533,,mobile,bronze,0
29,6,17.8,0.073,1702.45,1,16.3,0.209,0.808,mobile,gold,0
6,11,16.7,0.071,366.25,1,10.2,0.145,0.285,mobile,gold,1
93,1,2.8,0.385,4.03,3,1.8,0.419,0.144,mobile,gold,1
9,1,2.6,0.832,101.31,4,5.7,0.557,0.028,mobile,bronze,1
16,10,16.9,0.135,147.69,0,12.3,0.101,0.886,mobile,platinum,0
12,1,1.1,0.59,25.68,1,3.9,0.76,0.315,mobile,silver,0
33,1,3.4,0.365,66.96,1,8.8,0.591,0.36,desktop,bronze,0
46,10,24.0,,698.07,0,16.2,0.442,0.635,mobile,silver,0
23,7,27.7,,3387.09,0,8.6,0.193,0.609,desktop,gold,1
85,4,17.4,0.13,173.08,0,13.7,0.206,0.464,desktop,silver,0
36,1,9.5,0.313,12.72,2,,0.192,0.541,tablet,bronze,0
56,11,16.0,0.027,131.84,0,11.0,0.313,0.674,tablet,platinum,0
4,9,17.5,0.048,1403.62,0,8.4,0.52,0.792,desktop,silver,1
29,9,20.0,0.035,340.6,0,10.7,0.244,0.095,desktop,bronze,0
183,0,,0.67,135.76,1,2.9,0.606,0.009,desktop,bronze,0
6,2,11.7,0.518,275.16,0,2.4,0.377,0.105,mobile,bronze,0
12,9,16.9,0.111,327.25,0,14.2,0.241,0.855,tablet,platinum,0
8,12,22.4,0.241,396.3,0,14.3,0.504,0.539,desktop,gold,0
26,6,6.3,0.65,73.86,1,7.3,0.405,0.573,mobile,silver,1
131,3,9.9,0.125,166.74,2,5.7,0.495,0.549,desktop,bronze,1
1,8,,0.136,232.19,0,11.3,0.185,,desktop,gold,0
48,3,5.3,0.725,22.85,2,5.1,0.676,0.504,mobile,bronze,0
9,7,19.3,0.299,310.17,0,15.0,0.337,0.501,desktop,platinum,0
10,14,17.7,0.126,190.83,0,,0.394,0.661,desktop,platinum,0
35,6,17.0,0.183,56.9,0,5.1,0.705,0.956,tablet,gold,0
7,15,23.8,0.135,281.06,1,7.6,0.355,0.509,desktop,bronze,0
163,1,4.0,0.76,15.62,0,1.5,0.56,,tablet,gold,1
4,3,5.1,0.554,15.67,1,6.1,0.563,0.207,tablet,silver,1
17,2,10.0,0.35,60.08,0,3.4,0.577,0.255,desktop,bronze,0
217,1,0.5,0.859,12.56,2,2.7,0.492,0.089,tablet,bronze,0
46,4,12.5,0.695,168.06,1,3.5,0.485,0.35,mobile,gold,0
43,0,2.9,0.979,3.03,6,4.1,0.742,0.309,mobile,bronze,0
36,12,22.0,0.211,127.87,0,12.4,0.057,0.745,mobile,gold,0
28,13,23.4,0.411,642.83,0,13.3,0.491,0.571,desktop,silver,1
35,0,4.3,0.859,63.94,4,2.5,0.449,0.31,desktop,silver,1
107,1,9.8,0.261,12.77,0,8.3,0.704,0.135,mobile,bronze,0
38,2,,0.807,37.64,0,7.0,0.588,0.783,tablet,silver,1
4,7,22.1,0.082,86.55,0,14.1,0.172,0.284,tablet,silver,0
6,1,4.4,0.644,67.2,2,4.1,0.421,0.066,desktop,bronze,1
18,2,3.5,0.592,10.12,1,6.7,0.585,0.012,mobile,silver,1
37,8,23.0,0.064,68.81,0,15.0,0.48,0.852,mobile,silver,0
63,2,9.4,0.572,19.72,0,7.3,0.153,0.164,desktop,bronze,1
57,9,19.7,0.009,,0,12.5,0.536,0.641,mobile,gold,0
217,0,3.3,0.72,21.36,2,5.3,0.473,0.009,desktop,bronze,0
56,8,14.8,0.126,,0,12.8,0.236,0.601,desktop,gold,0
16,4,21.7,0.1,69.54,1,,0.573,0.832,mobile,platinum,0
18,7,12.2,0.086,1134.56,0,10.8,0.483,0.64,mobile,gold,1
22,3,2.4,0.814,10.02,2,4.5,0.648,0.381,mobile,bronze,0
20,8,19.3,0.081,179.32,1,2.9,0.113,0.684,mobile,silver,1
1,6,15.8,0.187,1504.87,0,16.1,0.146,0.818,mobile,gold,0
116,0,10.2,0.521,42.52,1,6.5,0.153,0.443,tablet,bronze,0
47,9,11.5,0.111,,0,13.2,0.446,0.73,mobile,gold,0
31,6,17.3,0.001,304.93,0,10.5,0.24,0.635,mobile,gold,0
19,1,8.0,0.115,25.72,1,5.8,0.665,0.111,desktop,bronze,0
2,0,3.5,0.733,36.8,3,4.2,0.599,0.297,mobile,silver,1
69,0,9.5,0.116,6.71,1,,0.153,0.167,tablet,silver,0
1,7,14.4,0.259,487.1,0,12.2,0.111,0.575,mobile,gold,1
42,0,4.8,0.726,172.83,3,1.1,0.508,0.021,mobile,gold,0
6,8,23.3,0.036,184.78,0,14.0,0.069,0.778,mobile,gold,0
20,5,7.9,0.258,162.02,1,13.2,0.24,0.938,desktop,platinum,0
143,2,7.3,0.536,16.06,1,3.5,0.72,0.069,tablet,bronze,1
3,9,9.7,0.209,301.75,0,11.1,0.207,0.366,desktop,silver,1
4,9,8.3,0.451,362.25,1,14.1,0.111,0.426,desktop,gold,0
19,12,16.9,0.015,897.3,0,11.6,0.069,0.759,mobile,bronze,0
141,3,2.8,0.914,10.32,0,2.1,0.229,0.197,mobile,silver,0
46,3,13.4,0.535,49.6,2,7.4,0.34,0.584,mobile,bronze,0
74,1,6.7,0.287,99.56,1,7.9,0.621,0.7,tablet,bronze,1
3,3,13.7,0.43,57.47,0,9.2,0.436,0.388,mobile,gold,0
13,5,19.3,0.075,1117.38,0,10.9,0.47,0.464,desktop,platinum,1
9,1,,0.933,20.12,2,4.4,0.468,0.101,mobile,bronze,1
5,6,23.2,0.067,2004.55,2,,0.089,0.76,desktop,silver,0
61,1,5.6,0.837,3.41,6,2.6,0.786,0.392,desktop,silver,0
303,3,4.6,0.645,3.28,4,4.3,0.457,0.112,desktop,bronze,1
28,14,10.3,0.33,312.08,1,12.4,0.197,0.885,mobile,gold,0
46,7,23.3,0.412,308.44,1,12.7,0.224,0.32,tablet,silver,0
49,10,21.9,0.063,101.02,0,15.8,0.126,0.583,mobile,silver,0
29,3,18.6,0.367,513.58,1,12.8,0.223,0.538,desktop,platinum,1
5,9,25.3,0.02,966.64,1,7.7,0.25,0.52,desktop,gold,1
61,1,0.5,0.784,30.73,1,1.0,0.454,0.087,desktop,bronze,1
24,2,8.4,,97.0,3,8.2,0.399,0.522,desktop,bronze,0
3,6,13.0,0.219,608.83,0,13.6,0.179,0.471,desktop,platinum,1
24,3,21.0,0.033,472.81,0,11.2,0.23,0.456,desktop,bronze,0
61,4,5.5,0.552,47.97,0,2.9,0.705,0.352,mobile,silver,1
1,10,24.7,,69.67,0,12.7,0.254,0.654,mobile,silver,0
36,8,19.3,0.409,421.14,0,14.8,0.197,0.212,desktop,gold,1
195,1,7.0,0.566,35.56,7,5.4,0.427,0.109,mobile,platinum,0
19,2,0.5,0.85,45.22,4,3.7,0.7,0.022,mobile,silver,0
22,9,,0.043,38.06,0,12.8,0.332,0.724,tablet,gold,0
11,9,19.5,,153.59,0,11.4,0.376,0.894,desktop,bronze,0
19,1,4.5,0.818,22.32,1,1.4,0.893,0.049,mobile,bronze,1
117,3,0.5,,282.44,0,5.5,0.442,0.625,desktop,silver,1
147,0,2.8,0.666,29.79,0,2.9,0.456,0.232,mobile,silver,1
28,8,18.6,0.029,686.33,0,10.1,0.175,0.712,mobile,silver,0
43,2,8.7,0.551,2.7,1,5.4,0.539,0.364,mobile,bronze,0
10,9,22.0,,146.01,0,8.6,0.126,0.857,desktop,silver,1
11,10,15.8,0.06,393.0,1,3.5,0.554,0.818,mobile,platinum,0
24,5,33.1,0.157,46.95,0,11.9,0.269,0.596,mobile,gold,0
365,0,4.9,0.72,43.83,2,3.4,0.464,0.226,mobile,bronze,0
5,2,2.3,0.625,30.0,2,6.1,0.326,0.235,mobile,bronze,1
11,4,13.5,0.135,24.71,0,,0.374,0.606,mobile,silver,1
9,1,8.3,0.567,16.75,0,,0.62,0.384,mobile,bronze,1
290,2,,0.949,29.81,1,3.5,0.374,,mobile,silver,0
96,2,4.3,,10.76,1,1.0,0.425,0.245,mobile,bronze,1
23,1,2.0,0.835,109.29,1,3.2,0.551,0.124,mobile,silver,0
4,6,13.3,0.198,220.25,0,10.7,0.338,0.577,mobile,silver,0
14,13,23.5,0.002,5.65,0,11.4,0.037,0.55,mobile,silver,0
6,0,9.1,0.69,440.79,2,7.1,0.568,0.208,desktop,silver,0
41,7,13.7,0.008,357.36,1,11.0,0.352,0.747,mobile,gold,0
36,0,7.3,0.156,197.71,2,3.9,0.279,0.707,desktop,bronze,0
269,0,4.6,0.868,68.74,3,3.4,0.588,0.082,mobile,gold,1
41,0,6.1,0.79,134.06,0,,0.319,0.66,mobile,bronze,0
41,13,17.4,0.446,114.74,0,17.5,0.269,0.913,tablet,bronze,0
3,7,15.8,0.631,,0,10.7,0.301,0.716,mobile,bronze,0
13,3,7.1,0.252,99.9,0,8.3,0.644,0.072,mobile,bronze,0
4,6,20.7,0.003,16.86,0,13.8,0.246,0.841,desktop,gold,0
29,8,12.4,0.474,2788.89,2,9.9,0.333,0.51,mobile,silver,0
21,1,0.9,0.512,1.77,6,1.0,0.628,0.286,mobile,gold,1
191,2,2.1,0.291,3.62,4,2.5,0.315,0.225,desktop,bronze,0
70,3,5.9,0.238,42.11,1,6.6,0.387,0.165,desktop,silver,0
38,7,16.9,0.352,800.49,1,12.5,0.142,0.791,desktop,platinum,1
16,10,22.0,0.034,329.02,0,9.9,0.283,0.672,mobile,platinum,0
25,6,20.3,0.258,34.14,0,14.8,0.199,,desktop,silver,0
49,1,3.1,0.934,37.1,0,1.8,0.775,0.143,mobile,bronze,1
2,1,0.5,0.828,9.52,1,5.0,0.508,0.202,desktop,silver,0
7,4,25.1,0.351,665.5,0,11.9,0.096,0.534,desktop,silver,1
60,4,21.4,0.116,240.71,2,10.2,0.347,0.892,desktop,platinum,1
115,1,0.5,0.861,6.84,4,5.1,0.165,0.048,mobile,platinum,1
9,12,23.3,0.069,904.79,0,12.0,0.181,0.905,desktop,gold,0
217,0,5.0,0.714,4.46,1,3.0,0.309,,mobile,bronze,0
6,8,16.6,0.264,2.25,0,12.8,0.68,0.635,desktop,platinum,1
15,3,4.1,0.657,52.1,3,2.8,0.675,0.074,desktop,silver,0
7,9,14.4,0.024,171.36,1,,0.473,0.72,desktop,platinum,0
18,6,31.8,0.234,241.59,1,13.3,0.35,0.855,desktop,platinum,1
11,9,17.1,0.1,554.73,0,9.5,0.34,0.488,mobile,gold,1
221,1,4.4,0.871,21.28,2,2.8,0.64,0.064,desktop,gold,1
83,1,2.4,0.575,322.09,1,2.3,0.573,0.02,mobile,bronze,0
22,9,22.6,0.149,843.32,0,10.6,0.505,0.568,desktop,gold,0
4,14,19.6,0.072,1385.1,1,13.1,0.387,0.913,desktop,gold,0
53,9,18.3,0.132,854.07,0,9.2,0.178,0.714,desktop,silver,0
122,0,6.5,0.663,48.23,3,4.1,0.627,0.062,mobile,bronze,1
3,6,21.6,0.602,1899.15,0,15.3,0.158,0.58,desktop,bronze,0
79,0,11.4,,93.11,0,5.2,0.541,0.591,mobile,bronze,0
16,4,16.8,0.273,449.63,0,16.1,0.215,0.882,mobile,silver,0
95,1,,0.617,193.35,2,4.3,0.491,0.33,mobile,gold,0
2,6,,0.012,233.21,0,7.8,0.312,0.782,desktop,silver,0
126,1,4.2,0.736,41.17,3,1.0,0.419,0.184,desktop,silver,0
35,4,5.6,0.49,46.7,2,4.8,0.703,0.156,mobile,silver,1
45,5,9.4,0.537,16.36,1,9.4,0.374,0.447,desktop,bronze,0
222,0,4.8,0.817,25.15,5,2.6,0.449,0.043,tablet,platinum,1
28,6,17.3,0.368,150.38,0,11.8,0.293,0.704,mobile,silver,1
6,9,14.2,0.077,95.95,0,14.2,0.413,0.522,desktop,silver,1
5,15,15.7,0.221,248.83,0,7.0,0.023,0.717,tablet,bronze,1
67,8,18.2,0.303,1.97,1,12.7,0.343,0.867,desktop,platinum,0
150,0,1.9,0.551,11.96,2,3.7,0.286,,desktop,silver,0
42,7,25.0,0.022,387.8,1,7.9,0.436,0.458,desktop,silver,0
4,10,19.5,0.097,593.46,0,12.1,0.167,0.827,desktop,gold,1
242,1,1.5,0.661,14.12,2,,0.51,0.05,desktop,silver,1
8,10,9.5,0.232,1860.11,0,10.6,0.197,0.806,desktop,silver,0
365,1,3.5,0.413,117.45,0,4.6,0.547,0.105,mobile,bronze,1
72,2,6.5,0.885,2.88,0,4.1,0.601,0.036,mobile,bronze,0
17,8,9.3,0.202,,1,4.8,0.28,0.957,tablet,silver,0
59,0,3.4,0.874,34.11,3,1.4,0.522,0.028,desktop,gold,0
16,14,15.9,0.278,115.86,0,11.8,0.748,0.408,desktop,bronze,0
26,4,21.5,0.104,644.0,1,12.6,0.649,0.781,mobile,silver,1
17,4,5.6,0.708,23.26,0,6.8,0.346,0.322,tablet,silver,1
255,2,4.1,0.569,82.72,2,2.2,0.545,0.003,mobile,bronze,1
51,0,0.5,0.832,81.42,2,,0.735,0.332,mobile,silver,1
10,2,4.3,0.779,18.44,2,2.1,0.561,0.006,desktop,bronze,0
21,6,13.7,0.407,306.85,0,10.9,0.11,0.525,desktop,gold,1
4,7,,0.215,3049.82,0,9.3,0.263,0.737,desktop,gold,0
183,0,5.5,0.82,131.56,1,1.9,0.92,0.05,mobile,bronze,0
59,3,10.9,0.404,15.46,1,4.0,0.33,0.633,tablet,bronze,0
79,1,3.5,0.92,12.44,4,4.2,0.587,0.198,desktop,bronze,1
2,9,19.7,,192.82,1,17.5,0.184,,desktop,gold,0
1,7,20.1,0.366,482.64,1,11.9,0.429,0.21,mobile,gold,0
53,1,6.0,0.862,69.52,2,8.9,0.698,,desktop,silver,1
61,9,,0.065,51.42,0,11.8,0.155,0.711,desktop,bronze,0
9,0,0.5,0.352,44.48,0,5.9,0.739,0.465,desktop,bronze,0
24,8,16.3,0.117,2358.41,1,15.3,0.416,0.887,mobile,gold,0
32,2,10.1,0.207,32.72,0,6.5,0.22,0.266,mobile,silver,0
53,4,1.7,0.818,1.11,2,3.9,0.567,0.414,desktop,silver,1
147,2,11.0,0.653,49.36,4,8.8,0.519,0.664,tablet,bronze,0
12,8,17.1,0.149,,0,8.5,0.279,0.625,desktop,silver,0
16,3,5.9,0.376,23.75,0,3.3,0.646,0.519,mobile,bronze,1
57,5,13.4,0.108,402.63,0,9.4,0.246,0.411,mobile,silver,1
30,8,22.8,0.219,1084.99,0,13.8,0.258,0.723,desktop,platinum,1
18,6,9.4,0.112,1134.18,0,11.9,0.467,0.838,desktop,silver,0
